,Unnamed: 0,Sentence,Aspect Terms,Sentiment
1416,1416,Could iPad be sold out by early afternoon Saturday ? - USATODAY.com http://ow.ly/1tUqH,USATODAY.com,NEUTRAL
1770,1770,Please follow me on Facebook we can share ideas and learn from each other : http://profile.to/markqjames/,Facebook,NEUTRAL
381,381,"The greatest accomplishment is not in never falling , but in rising again after you fall . Vince Lombardi",Vince Lombardi,NEUTRAL
1046,1046,Interesting times ahead post #RussianElections - Putin may have won but will wider pop cont to ignore violations & arrests of opposition ?,Putin,NEGATIVE
2038,2038,"Dear , salman buttt , mohmad aamer & asif we are missing you so much , hope you will join your team so soon ... With love- TEAM ENGLAND",mohmad aamer,POSITIVE
2148,2148,Aurobindo Pharma is into a downtren d: CK Narayan Venture into buying L & T ; : CK Narayan Nifty may touch 5350 : CK Narayan Buy Hero Honda,CK Narayan,NEUTRAL
2056,2056,Sorcerer's Stone Of The Magi by Acid Mothers Temple And The Melting Paraiso U.F.O . ( Lord Of The Undergroun d: Vishnu And The Magic Elixir ),Acid Mothers Temple,NEUTRAL
95,95,It's Here ! 'The Selina Ray Show' Encore Presentation : Pregnancy & am p; Unassisted Birth w/ Lorinda Rainwater http://t.co/mIwrz2lk,Lorinda Rainwater,NEUTRAL
2739,2739,Twitter / Steve Martin : I hate my life . http://t.c ... http://t.co/lIFq2AWX ( via @RolandhV ),Twitter,NEUTRAL
0,0,How can someone so incompetent like Maxine Waters stay in office for over 20 years ? #LAFail,Maxine Waters,NEGATIVE
2801,2801,"Sorry for not updating much . Im still in Cairo , Mr A is in Benghazi . Im helping arrange AID RELIEF and hes ... U mmm ... Being MR A :P",MR A,NEUTRAL
2530,2530,http://t.co/M6Cg2GN5 Occupy protests swell nationwide ; scores arrested 2,Occupy protests,NEUTRAL
2269,2269,Gaddafi's daughter Aisha was hospitalised in Algeria after learning that her father and brother Muttasim had been killed,Muttasim,NEUTRAL
1883,1883,:) http://bit.ly/hCI4Y1 banana republic Which store do you think Express or The Limited has clothes like New York Company and Banana Rep ...,Express,NEUTRAL
1126,1126,@LiteraryInfo @clapoz Hehe I know ! :D It's just like two versions of Claudia ! I like them both ! I've learnt interesting tips from your twts,@LiteraryInfo @clapoz,NEUTRAL POSITIVE
1274,1274,I posted a new photo to Facebook http://t.co/i4iGBTA,Facebook,NEUTRAL
460,460,A man needs a little madness or else he never dares to cut the rope & be free . -Nikos Kazantazkis,-Nikos Kazantazkis,NEUTRAL
1487,1487,nasa aliens - Get Colon health information and how to support your colon with detox diets - nasa aliens http://goo.gl/kmag3,nasa,NEUTRAL
2916,2916,Abraham Lincoln's mother died when she drank the milk of a cow that grazed on poisonous snakeroot .,Abraham Lincoln's,NEUTRAL
2883,2883,Al Jazeera English http://bit.ly/faw9KM expose Bahraini security after the massacre of Pearl Roundabout #bahrain,Bahraini security,NEUTRAL
1321,1321,Only Italy : How Teenagers Learned To Hate Joseph Kony : The social media campaign by Invisible Children has drawn ... http://t.co/wVj56P7o,Joseph Kony,NEGATIVE
171,171,News & Gossip From Robert Puddy ( Here's 23 pages of rock-solid content for free ( $ 47 value ) http://t.co/5LvXg32p,Robert Puddy,NEUTRAL
2575,2575,@andrewsginsburg No we are just online now . We have brand called 3bar that we are going to bring to bars .,3bar,NEUTRAL
1213,1213,Just entered to win a Weekender Convertible Backpack ! Follow @Vagabondish and @eBagsOnline + RT to enter â http://t.co/hT5dBVQl,@eBagsOnline,NEUTRAL
868,868,"New KSU faculty appointments announced at Scientific Council â s fifth session : On Sunday , November 13 , King Saud ... http://t.co/v2mBny4w",King Saud,NEUTRAL
1365,1365,http://bit.ly/aaRbLw Craft Utopia blog ~ Long awaited Die Cuts by Design House have die cut decoupage,Design House,POSITIVE
3143,3143,Actor Jim Iyke Enrolls for Anger Management Class ... http://t.co/Cb2JupOI,Jim Iyke,NEUTRAL
726,726,"Pentagon budget to cut military , cancel programs",Pentagon,NEUTRAL
2423,2423,Q : What is ( or was ) your family's favorite Nickelodeon show ? Check out Nickelodeons virtual Nick Toy Machine ... http://t.co/6Zm9pC6h,Nickelodeon,NEUTRAL
1167,1167,â @ mindyw : Adam Cahan telling the gang from @TechCrunch about Yahoo's @IntoNow . http://t.co/qGyNc76Lâ,Adam Cahan,NEUTRAL
2377,2377,Reception dashobaords receiving a warm reception at Sustainability Live !,Sustainability Live,NEUTRAL
2596,2596,"Emily can't go up and down the stairs cuz of her foot , soo I have to go down for lunch :) I hate the dining room .",Emily,NEUTRAL
2096,2096,"ICD Public Discussion - ""Dealing with 7 Billion : The issue of Overpopulation"" http://t.co/ycLT8WYf",ICD,NEUTRAL
