,Unnamed: 0,Sentence,Aspect Terms,Sentiment
2479,2479,try sleeping with a broken heart ( alicia keys ),alicia keys,NEUTRAL
1915,1915,happy national day QATAR & lt ; 3,QATAR,NEUTRAL
807,807,I posted a new photo to Facebook http://t.co/Z4Rkrns,Facebook,NEUTRAL
1369,1369,"New blog post , Mark Huffman @ HCC This Sunday - http://t.co/QpjlzH7x",Mark Huffman,NEUTRAL
2171,2171,Like Â· Â· Share Â· about an hour ago Mike Wilson Oakley Watch 499.00 regular 1399.00 special with box and links only worn twice Mob,Mike Wilson,NEUTRAL
2849,2849,Intel Prepping Android 2.2 For x86 Device s: http://cot.ag/9WcsXJ,Intel,POSITIVE
1876,1876,"â @ piersmorgan : Aw , thanks @rioferdy5 - such a generous gift for my new daughter . Much appreciated . â and another from Vermaelen . Enjoy",@rioferdy5,POSITIVE
378,378,Republican Governors Association Chairman Gov . Bob McDonnell ... ( Richmond Times Dispatch ): Share W ... http://t.co/pBTT74Jr #yoga #health,Richmond Times Dispatch,NEUTRAL
309,309,"@Home with Mosab , ZoZ , Zoz Jalal , and Amrico playing II Black Ops II .... Photo @ Fountain Park Apartments http://gowal.la/p/bXk5",Zoz Jalal,NEUTRAL
1945,1945,"Smoke thi s: ""Smoking kills . If you're killed , you've lost a very important part of your life , "" - Actress Brooke ... http://t.co/BJ0k8s6i",Actress Brooke,NEUTRAL
2195,2195,Grace just finished her shopping spree with that $ 250 voucher she got free just by giving an email here promo http://tinyurl.com/ycceobj,Grace,POSITIVE
2710,2710,"Once you know who you really are , being is enough . D . Chopra #fb",D . Chopra,NEUTRAL
1599,1599,"Lady Gaga has 3 shows in HK , wonder if Singapore gonna have 3 too . Think there are still many little monsters out there who dont have tix",Lady Gaga,NEUTRAL
2754,2754,Whitney Houston fans to follow funeral on web http://t.co/ud9nHNuz,http://t.co/ud9nHNuz,NEUTRAL
2466,2466,I posted a new photo to Facebook http://t.co/JXZF8BKf,Facebook,NEUTRAL
2441,2441,Still Suicide Shopping to Ben Bernanke â s Last Dance http://t.co/gisAsqWc,Ben Bernanke,NEUTRAL
1674,1674,"Reading : ""Gisele Bundchen and Tom Brady Say ""I Do ! "" - omg ! news on Yahoo ! "" ( http://tinyurl.com/b25r2d )","""Gisele Bundchen",POSITIVE
1454,1454,Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x,Google+,NEUTRAL
326,326,""" @ TheSingleWoman : Feel the pain when u have a loss . Feel the joy when u triumph . Then let go & continue to grow . Melody Beattie # TheSW"" #fb",Melody Beattie,POSITIVE
2437,2437,EU Elects Van Rompuy for Second Term as European Council Chief | Fox Business http://t.co/tbdRiRNm via @foxbusiness,European Council,NEUTRAL
2511,2511,BBC News - Black Friday iTunes infected credit malware alert http://t.co/K3lO7cUt ( via @_tidings_ ),BBC News,NEUTRAL
2536,2536,Cars ! Top Speed !!! : BMW 750i Top Speed 260 km/h ( 160 m/h ) . : http://bit.ly/7z9PMo,BMW,POSITIVE
1390,1390,Ploughshare s: The Geometry of God http://bit.ly/bBTYVS,Ploughshare s:,NEUTRAL
1944,1944,One simple step to the easiest and fastest way of creating your dream lifestyle ! Must see http://bit.ly/yWf8m0 :)D rinking some Pepsi .,Pepsi,POSITIVE
2906,2906,"The whole media is corrupt , follow ppl you trust !! @laurenflax @CNN #londonroits",@CNN,NEUTRAL
2132,2132,http://t.co/PrUEpa7C Dunkin â Brands Announces Initiation of Cash Dividen d: Dunkin â Brands Announce ... http://t.co/GQyew6Ws EDconsulting_,Dunkin â Brands,NEUTRAL
1385,1385,"Obama May Back Hiring Credit , Construction Spending to Spur Jobs â BusinessWeek http://t.co/PCBJYSw",BusinessWeek,NEUTRAL
2773,2773,"I know this sounds very silly and unnecessary , but I am getting really tired of this ""Poke"" business on Facebook ... http://t.co/uMfQSnuC",Facebook,NEGATIVE
1362,1362,Cheap Tickets To : Cox appreciates Pujols' value to game http://cheapticketsto.net/cox-appreciates-pujols-value-to-game/,Cox,NEUTRAL
2523,2523,"Forever remembered , never forgotten . Whitney Houston , You Give Good Love ! R.I.P",Whitney Houston,POSITIVE
2991,2991,Twitter Help Center | How To Change Language Settings http://t.co/61USVOr via @support,Twitter,NEUTRAL
2363,2363,Is Prince William and Kate Middletons wedding going to be televised in the US ? Kate Middleton http://bit.ly/geyGfq .,Prince William,NEUTRAL
