,Unnamed: 0,Sentence,Aspect Terms,Sentiment
2464,2464,"My 87y.o . Grandma asked me what I do for wrk now , found myself doing crash course in mobile gaming & introducing her to Cut The Rope/OmNom )",Grandma,NEUTRAL
2035,2035,NYTime s: U.S . Agencies Infiltrating Drug Cartels Across Mexico ... http://t.co/Ybg0JgNz,NYTime,NEUTRAL
1165,1165,Bank Audi is in Turkish Market with full banking licence . Mabrook,Bank Audi,POSITIVE
576,576,The 2nd Reason Why Forex Traders Fail !! ... http://fb.me/WTcMEwG2,Forex,NEGATIVE
984,984,"23 March !! Oh dear sweet lord , so many important events . THG premiere , math pt submission , and mengy turns 16 ! @emmi_awards",mengy,NEUTRAL
3106,3106,Look further . It's inside you . Greg Z .,Greg Z,NEUTRAL
730,730,"nice one ah chai . my sentiments exactly . RT @xiejm : But if u're confident being yourself , why are you even afraid of being judged ?",ah chai,POSITIVE
1429,1429,"I posted 4 photos on Facebook in the album ""People"" http://fb.me/YM7y9xEA",Facebook,NEUTRAL
1998,1998,! : Go Colts that will knock your socks off . http://cli.gs/115YE,Colts,POSITIVE
1073,1073,Hardware Chasis Update For Windows Phone Makes Way For Dirt Cheap Windows Phone Devices â¦ http://t.co/t4K7uYya,Windows Phone,POSITIVE
2721,2721,Hearst â s Carey : We Will Have One Million Paying Digital Subscribers In 2012 http://t.co/uKVFFfRg #Hearstuk #PixelMags,Carey,NEUTRAL
314,314,MetLife Dental Insurance Review : Participants of MetLife Dental Insurance plans receive benefits through a netwo ... http://t.co/eyUHuNj,MetLife,NEUTRAL
72,72,"NET10 prepaid wireless service , the frequent user service from TracFone . http://bit.ly/bsbkTn",TracFone,NEUTRAL
