,Sentence,Aspect Terms,Sentiment
23,Cannabis News Video : Billionaire Richard Branson talks about ending the War on Drugs . : http://t.co/yfucws0L via @AddThis,Richard Branson,NEUTRAL
24,American Idol Aaron is my favorite !,Aaron,POSITIVE
25,Gemma Barker : Jessica Sayers duped into dating 2 boys without realising they were the SAME GIRL http://t.co/ZpXmMnSC via @MailOnline,Gemma Barker,NEUTRAL
26,Gemma Barker : Jessica Sayers duped into dating 2 boys without realising they were the SAME GIRL http://t.co/ZpXmMnSC via @MailOnline,Jessica Sayers,NEGATIVE
27,"A man may die , nations may rise and fall , but an idea lives on . - John F . Kennedy",John F . Kennedy,NEUTRAL
28,Prada sale s coming ... Wat to buy ...,Prada,POSITIVE
29,Manic Street Preachers â This Is Yesterday : http://www.last.fm/music/Manic+Street+Preachers http://bit.ly/bqSsQx,Manic Street Preachers,NEUTRAL
30,Courtesy of @Urjobcoach Tracey Walker Explains Everything You Need To Know About The Empower Network ! http://t.co/D6ecoivb,Tracey Walker,NEUTRAL
31,Courtesy of @Urjobcoach Tracey Walker Explains Everything You Need To Know About The Empower Network ! http://t.co/D6ecoivb,The Empower Network,NEUTRAL
32,Lab-grown meat is first step to artificial hamburger http://t.co/WQ4aWjmh | BBC,BBC,NEUTRAL
33,"Beyond Snapshot s: How to Take That Fancy DSLR Camera Off ""Auto"" and Photograph Your Life like a Pro : Rachel Devi ... http://t.co/uagUV4qw",Rachel Devi,NEUTRAL
34,HIT - 100 FREE MORE TWITTER FOLLOWERS ! http://tinyurl.com/2e4chmv,TWITTER,NEUTRAL
35,Mouth-watering Red Zone Buffalo Wing s: http://bit.ly/dvfCa1,Red Zone,POSITIVE
36,"Trail Blazers 86 , Hornets 74 : Postgame quotes and note s: I don't understand why people are talking about divisio ... http://t.co/WVx26Fmd",Trail Blazers,NEUTRAL
37,"Trail Blazers 86 , Hornets 74 : Postgame quotes and note s: I don't understand why people are talking about divisio ... http://t.co/WVx26Fmd",Hornets,NEUTRAL
38,"Vegetables are a must on a diet . I suggest carrot cake , zucchini bread and pumpkin pie . ~Jim Davis",~Jim Davis,NEUTRAL
39,Canadian Transpromo Leader Adding Second OcÃ© JetStream ... - CNW Group http://tinyurl.com/2dmk5jh,OcÃ© JetStream,NEUTRAL
40,Canadian Transpromo Leader Adding Second OcÃ© JetStream ... - CNW Group http://tinyurl.com/2dmk5jh,CNW Group,NEUTRAL
41,Bipasha is looking like a billion dollar bill : RGV http://t.co/0z7JhBQv,Bipasha,NEUTRAL
42,listening to Dockyard by Paul Kalkbrenner on @Grooveshark : http://tinysong.com/eIFz #nowplaying,Paul Kalkbrenner,POSITIVE
43,Why federal construction spending doesn â t translate to GDP growth â Reuters Blogs http://t.co/jCEMvRP,Reuters,NEUTRAL
44,"@fmdroid .. cause everybody in ecuador use boring blackberries or iphones , ill buy the samsung galaxy S2 but I mean ....",samsung,NEUTRAL
45,"JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)",JB Pre ss:,NEUTRAL
46,"JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)",Thistle Johor Bahru,NEUTRAL
47,"Discuss the law of attraction , book Kevin Trudeau for an interview today ! Click http://tinyurl.com/yatqcqu",Kevin Trudeau,NEUTRAL
48,Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,Celtics,NEUTRAL
49,Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,Magic,NEUTRAL
50,Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,NBA,NEUTRAL
51,Lego Space Shuttle Nearly Reaches Space [ VIDEO ]: NASA â s storied space shuttle program may be history but ships a ... http://t.co/TaFf7Kn6,NASA,NEUTRAL
52,Channing tatum *_* & lt ; 3,Channing tatum,NEUTRAL
53,How do you know google is a woman ? She won't let you finish the whole sentence before she starts guessing and suggesting ! #google,google,NEGATIVE
54,How do you know google is a woman ? She won't let you finish the whole sentence before she starts guessing and suggesting ! #google,#google,NEUTRAL
55,@OngFloFlo wahhh~~ u change to 4s oh !! i was still considering .. my contract is up le . can change le . how much u bought ?,@OngFloFlo,NEUTRAL
56,I favorited a @YouTube video http://t.co/KbwwumO2 Hitler's First Speech in Power w . Goebbels Intro 1933 10min,Hitler's,POSITIVE
57,I favorited a @YouTube video http://t.co/KbwwumO2 Hitler's First Speech in Power w . Goebbels Intro 1933 10min,Goebbels,NEUTRAL
58,"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",Penn State Coach,NEGATIVE
59,"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",Admin,NEGATIVE
60,"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",penn state,NEGATIVE
61,3 weeks ago cecil stoeltzing advise the rotate . 207 . Gathered ?,cecil stoeltzing,NEUTRAL
62,Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,New York Giants,NEUTRAL
63,Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,Green Bay Packers,NEUTRAL
64,Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,NFL,NEUTRAL
65,Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,Facebook,NEUTRAL
66,Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,sksm,NEUTRAL
67,The Forex Market and the Middle Eastern Crisi s: By James McKee Major currencies on the Forex currency exchange ( ... http://bit.ly/eFm0uZ,Forex,NEUTRAL
68,The Forex Market and the Middle Eastern Crisi s: By James McKee Major currencies on the Forex currency exchange ( ... http://bit.ly/eFm0uZ,James McKee,NEUTRAL
69,The Forex Market and the Middle Eastern Crisi s: By James McKee Major currencies on the Forex currency exchange ( ... http://bit.ly/eFm0uZ,Forex,NEUTRAL
70,"VegeBenefits Go ss: Re : Cheat days ? : Quote from : mrsrazon on March 04 , 2012 , 09 : 53 : 00 PMMy question is , why does ... http://t.co/vNe2ldf5",mrsrazon,NEUTRAL
71,Inspiring ! RT @rushay : Brazilian President Dilma Rousseff : From Imprisoned Guerrilla Fighter to The Most ( cont ) http://tl.gd/7t9r7e,Brazilian President Dilma Rousseff,POSITIVE
72,"NET10 prepaid wireless service , the frequent user service from TracFone . http://bit.ly/bsbkTn",TracFone,NEUTRAL
73,"FDA Device Panel Gives Nod to New Stent for PAD - ( MedPage Today ) -- GAITHERSBURG , Md . -- An FDA advisory committee ... http://t.co/XRnJv2vS",FDA Device Panel,NEUTRAL
74,"FDA Device Panel Gives Nod to New Stent for PAD - ( MedPage Today ) -- GAITHERSBURG , Md . -- An FDA advisory committee ... http://t.co/XRnJv2vS",MedPage Today,NEUTRAL
75,Waste New s: Mayor Bloomberg to unveil recycling initiatives for NYC http://t.co/qjCFOCRv,Mayor Bloomberg,NEUTRAL
76,95.5 KLOS Southern California's Best Rock : http://t.co/gVrS7Ki via @AddThis,95.5 KLOS Southern California's Best Rock,NEUTRAL
77,OMG . McDonalds Has Wine on the Menu in South America http://t.co/ZcEQxbRH Plz RT,McDonalds,NEUTRAL
78,Check this video out --&gt ; Why the West is Coming to Islam ? - By Dr . Zakir Naik =,Islam,NEUTRAL
79,Check this video out --&gt ; Why the West is Coming to Islam ? - By Dr . Zakir Naik =,Dr . Zakir Naik,NEUTRAL
80,great american cookies ... daaaa best !,great american cookies,POSITIVE
81,AmazonBasics Silicone Case for AT & T and Verizon iPhone 4 and iPhone 4S ( Black ): AmazonBasics Silicone Case for A ... http://t.co/LDu9IaR7,AT & T,NEUTRAL
82,AmazonBasics Silicone Case for AT & T and Verizon iPhone 4 and iPhone 4S ( Black ): AmazonBasics Silicone Case for A ... http://t.co/LDu9IaR7,Verizon,NEUTRAL
83,Not following anyone on Twitter because of privacy issues ? Protecting Your Privacy with Twitter ! http://fb.me/VxfQC74E,Twitter,NEGATIVE
84,"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Triplefin,NEUTRAL
85,"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Microsoft,NEUTRAL
86,"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Marketwire,NEUTRAL
87,Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Zettaset,NEUTRAL
88,Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Timothy Straight,NEUTRAL
89,Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Straight,NEUTRAL
90,New post : Credit Card Debt Consolidation : Apply Today - BigNews.biz ( press release ) ( http://cli.gs/edTHt),BigNews.biz,NEUTRAL
91,"Very cool set of #vintage logo #designs @designstreamin , definitely worth checking out http://t.co/bwHiB90C",@designstreamin,POSITIVE
92,It's hard to tell whether you're really growing more intimate ... More for Leo http://t.co/g19Qv57k,Leo,NEUTRAL
93,Scarlett Johansson Has Joined The Growing List Of Famous Actresses Who Also Direct http://t.co/EI6CXFPF,Scarlett Johansson,NEUTRAL
94,It's Here ! 'The Selina Ray Show' Encore Presentation : Pregnancy & am p; Unassisted Birth w/ Lorinda Rainwater http://t.co/mIwrz2lk,Selina Ray,NEUTRAL
95,It's Here ! 'The Selina Ray Show' Encore Presentation : Pregnancy & am p; Unassisted Birth w/ Lorinda Rainwater http://t.co/mIwrz2lk,Lorinda Rainwater,NEUTRAL
96,BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,BBC News,NEUTRAL
97,BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,PM Gillard,NEUTRAL
98,BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Kevin Ru dd:,NEUTRAL
99,BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,PM Julia Gillard,NEUTRAL POSITIVE POSITIVE
100,BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Kevin Rudd,NEUTRAL
101,@backstreetboys Strength for the people of Chile,@backstreetboys,POSITIVE
102,"Haitham Al-Maleh - piece of junk ""Rescue Syria"" by bombing it and sectarianly triggring it h still has the guts to talk ! #Alarabiya","""Rescue",NEGATIVE
103,"TONIGHT ( Democratic Republic of Music , Tur 10 , 8.30pm ): Based in Brussels , this Belgian-Tunisian singer is passing ... http://t.co/fY015r8n",Democratic Republic of Music,NEUTRAL
104,â Deleted â Season 1 â Lost â Scene Shown at Comic-Con http://t.co/AOR7OiA,Comic-Con,NEUTRAL
105,Make Short Url for Google+ Profile http://t.co/6tIIERd,Google+,NEUTRAL
106,"I posted 8 photos on Facebook in the album ""Stonelite Furniture tables lifestyle shots"" http://fb.me/Fqup1KM8",Facebook,NEUTRAL
107,@Fa6oomBieber Why do not you go where intervention Twitter,Twitter,NEUTRAL
108,"@ParisHilton Paris , what do you think of Islam ??",Paris,NEUTRAL
109,I posted a new photo to Facebook http://t.co/PFVJd69P,Facebook,NEUTRAL
110,"T-Mobile Galaxy Tab 10.1 , SpringBoard Slates Get Confirmed Roll Out Dates http://t.co/OEdy9UND",T-Mobile,NEUTRAL
111,"T-Mobile Galaxy Tab 10.1 , SpringBoard Slates Get Confirmed Roll Out Dates http://t.co/OEdy9UND",SpringBoard,NEUTRAL
112,"@hfreij hey Sehs , how's your trip ? Still in Miami ? Irene is a bitch , stay away from her lol",Sehs,NEUTRAL
113,"@hfreij hey Sehs , how's your trip ? Still in Miami ? Irene is a bitch , stay away from her lol",Irene,NEGATIVE
114,Aliens are very curious about the Chevy Volt in the manufacturer's 2012 Super Bowl Ad . http://t.co/go4MCUTI,Chevy,POSITIVE
115,Gadget Guru's 62 is live ! Jacob is going to review his new monitor and Nick the Otterbox Commuter case ! http://j.mp/cLudie,Jacob,NEUTRAL
116,Gadget Guru's 62 is live ! Jacob is going to review his new monitor and Nick the Otterbox Commuter case ! http://j.mp/cLudie,Nick,NEUTRAL
117,I favorited a YouTube video -- Love and Mortar - Considering whether to use bamboo furn ... http://youtu.be/4q2hBTQzjfU?a,YouTube,NEUTRAL
118,"Automate your social marketing on Twitter . Plan it , set it , and forget it . http://www.socialoomph.com/92987.html",Twitter,NEUTRAL
119,Confessions of an Economic Hitman : John Perkins was economic hit man for an international consulting firm that w ... http://t.co/iTpIsEF0,John Perkins,NEGATIVE
120,I bought Mac OS X Lion From apple Canada Store http://t.co/oUQmJDW,Mac OS,NEUTRAL
121,played the song 'Sirens ( ft . Sev Sanders ) ' by Kimberley Locke on @myspace http://t.co/t1pYBqcg,Sev Sanders,NEUTRAL
122,played the song 'Sirens ( ft . Sev Sanders ) ' by Kimberley Locke on @myspace http://t.co/t1pYBqcg,Kimberley Locke,NEUTRAL
123,Samsung GALAXY Ace 2 and GALAXY Mini 2 revealed ! http://t.co/dtojDoZn,Samsung,NEUTRAL
124,Life's not always fair . Sometimes you can get a splinter even sliding down a rainbow . ~Terri Guillemets,~Terri Guillemets,NEUTRAL
125,"prof in course outline . "" â A hero is a man who does what he can . The others do not do it . â â Romain Rolland ( Nobel laureate in literature ) """,Romain Rolland,NEUTRAL
126,"prof in course outline . "" â A hero is a man who does what he can . The others do not do it . â â Romain Rolland ( Nobel laureate in literature ) """,Nobel,NEUTRAL
127,"Aristotle developed a theory on progressive ensoulment from vegetative , then animal , then human . ( cont ) http://tl.gd/82jsfu",Aristotle,POSITIVE
128,"@HalaGorani Rally for #Syria in #NYC on Saturday at 1pm in front of the UN , organized by Arab Americans for Democracy in Syria . #Daraa",UN,NEUTRAL
129,"@HalaGorani Rally for #Syria in #NYC on Saturday at 1pm in front of the UN , organized by Arab Americans for Democracy in Syria . #Daraa",Arab Americans for Democracy in,NEUTRAL
130,I just unlocked the Explorer badge on @foursquare! Http://t.co/wLlj4L3h,@foursquare!,NEUTRAL
131,Spokesman for the Coalition : The #Afghan #Parlaiment Speaker Should Resign http://t.co/eMc4hKqG via @afbamdad,#Afghan #Parlaiment Speaker,NEGATIVE
132,Just got back from my Great Grandma's . Now about to go to the grocery store .,Great Grandma's,NEUTRAL
133,I posted a new photo to Facebook http://t.co/i2uca4fl,Facebook,NEUTRAL
134,""" @ MattBennett : ""I play Robbie on the show."" -me to strangers all the time."" It sucks u.u",Robbie,NEGATIVE
135,You can determine what your future holds based on how much time and energy you spend working on yourself now ... Les Brown,Les Brown,NEUTRAL
136,"Life is a gift , and it offers us the privilege , opportunity , and responsibility to give something back by becoming more . Tony Robbins",Tony Robbins,NEUTRAL
137,Apple Bought This Entrepreneur's Last Ad Tech Company -- Now He's Taking ... http://t.co/7TNtCrjD,Apple,NEUTRAL
138,"Engineer/Architect AED 8 , 000 - 9 , 000 p.m . We are a Fit-Out/FF & E Company based in Dubai UAE , we urgently need an ... http://t.co/MU73n7bI",Fit-Out/FF & E Company,NEUTRAL
139,I posted a new photo to Facebook http://t.co/SsCrssHt,Facebook,NEUTRAL
140,"""Ultimate Fighter"" Reality Show Rising Star Has Gay Porn Background [ The Gays ] http://t.co/oz9gCFo7 #TwitNewsNow",The Gays,NEUTRAL
141,Rolland Safe and Lock is wherever you are ! When in need we will help !,Rolland Safe and Lock,POSITIVE
142,#WorldNews Switzerland's 'Mr . Swatch' Dead At 82 http://n.pr/c3nRd0,#WorldNews,NEUTRAL
143,Singapore Presidential Elections 2011 | Your Vote 2011 - Yahoo ! Singapore News http://t.co/TbSWsr3 via @yahoosg,Yahoo,NEUTRAL
144,A good head and a good heart are always a formidable combination . ~ Mandela,Mandela,NEUTRAL
145,"Missing all filipino foods , specially my wife's cooking ... !!!",wife's,POSITIVE
146,I posted a new photo to Facebook http://fb.me/17SwfVbP9,Facebook,NEUTRAL
147,I liked a @YouTube video http://t.co/Sr89beaz The Black Keys - Next Girl,The Black Keys,POSITIVE
148,Has President Obama Joined Pinterest ? http://t.co/GpNtT636 Interesting story from #mashable,President Obama,NEUTRAL
149,Has President Obama Joined Pinterest ? http://t.co/GpNtT636 Interesting story from #mashable,Pinterest,NEUTRAL
150,"Seiten Taisei's 2nd Music Video : ""Love's Flight Diary"" will release on Feb 22nd ... Directed by Shun , cinematographer by Ricotaro Minami",Seiten Taisei's,NEUTRAL
151,"Seiten Taisei's 2nd Music Video : ""Love's Flight Diary"" will release on Feb 22nd ... Directed by Shun , cinematographer by Ricotaro Minami",Shun,NEUTRAL
152,"Seiten Taisei's 2nd Music Video : ""Love's Flight Diary"" will release on Feb 22nd ... Directed by Shun , cinematographer by Ricotaro Minami",Ricotaro Minami,NEUTRAL
153,Skype is a fucking life saver .,Skype,POSITIVE
154,"I'm selling St George England Flag Real Leather 20"" Filled Cushion on eBay . View it here : http://bit.ly/cNIp2u",St George England,NEUTRAL
155,"I'm selling St George England Flag Real Leather 20"" Filled Cushion on eBay . View it here : http://bit.ly/cNIp2u",eBay,NEUTRAL
156,Get your 40 % Discount at DailyLook for Friends and Family ! Just tweet to unlock your discount code . http://t.co/SMgjjqAT via @dailylookUS,DailyLook,POSITIVE
157,These Blake Griffin Dunks are always SICK . the Man got Hops & Throws it down with an attitude ! He's The Human Highlight Film 2.0 #Truth,Blake Griffin,NEGATIVE
158,"FreelanceWritingDesk Sam Rayburn : ""No one has a finer command of language than the person who keeps his mouth shut."" http://t.co/zhKZ2Mcd",Sam Rayburn,NEUTRAL
159,Never try anything new on race day - good advice ! Salt Lake City Arts & Entertainment - Get Out : Tips From Triathletes http://t.co/fgW5Zh1A,Salt Lake City Arts & Entertainment,POSITIVE
160,"Happy V-DAY :D have a great one and enjoy & lt ; 3 xoxo ""Lana""","""Lana""",NEUTRAL
161,These Guitar Pics Hand stamped by my friend Aly of Jeraly are AwEsOmE ! http://t.co/Zq9GvfzC,Aly of Jeraly,POSITIVE
162,"Special #shoutout #ff goes to Casey Freeman @MRkcFreeman Congratulations on the book KC , here's to many more to come .",Casey Freeman,POSITIVE
163,"Special #shoutout #ff goes to Casey Freeman @MRkcFreeman Congratulations on the book KC , here's to many more to come .",KC,POSITIVE
164,I favorited a @YouTube video http://t.co/Gg5mOU5x Windoro Window-Cleaning Robot Demo,Windoro,NEUTRAL
165,#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Renee,NEUTRAL
166,#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Finch,NEUTRAL
167,#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Queensland Museum,NEUTRAL
168,"@dianna3335 That's why people need a Virgin Mattress , one free of all that mess ! http://ht.ly/38ZlP We prefer those with VertiCoil Edge !",@dianna3335,NEUTRAL
169,@BarackObama please do something about # Syria . We don't need invasion but some pressure on the brutal #Asad dictatorship !!! Ppl are dying !!,@BarackObama,NEUTRAL
170,@BarackObama please do something about # Syria . We don't need invasion but some pressure on the brutal #Asad dictatorship !!! Ppl are dying !!,#Asad,NEGATIVE
171,News & Gossip From Robert Puddy ( Here's 23 pages of rock-solid content for free ( $ 47 value ) http://t.co/5LvXg32p,Robert Puddy,NEUTRAL
172,"Facebook App may access your texts messages , but it's not ... http://t.co/6AOKK1zl",Facebook,NEUTRAL
173,http://bit.ly/cTsRZh 1 Rosie Huntington-Whiteley Struts Her Victoria â s Secret Wings :),Rosie Huntington-Whiteley,POSITIVE
174,http://bit.ly/cTsRZh 1 Rosie Huntington-Whiteley Struts Her Victoria â s Secret Wings :),Victoria â s Secret,POSITIVE
175,Employee engagement lessons from the Winnipeg Jets . Lesson 5 : Progress and Set backs . http://t.co/cgAb3Czc,Winnipeg Jets,NEUTRAL
176,"Beginning September 6 , 2011 , by visiting m.dell.com on an Android mobile device ( a pop-up screen will prompt users to download ) #dellapp",Android,NEUTRAL
177,"The Story Tellers live at Rhodes Arts Complex , Bishops Stortford http://t.co/MY8zPpR3",The Story Tellers,NEUTRAL
178,Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Joyce,NEUTRAL
179,Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Ray,NEUTRAL
180,""" @ iLikeGirlsDaily : WTF , I didn't even notice The Rock in this photo : http://t.co/lyQZc8rn - can you spot him ? """,The Rock,NEUTRAL
181,"http://t.co/3lC2x18k The Definitive Guide To Google AdSense 43 Chapters , 101 pages+ of AdSense Insider Secrets",Google,NEUTRAL
182,From Occupation to â Occupy â : The Israelification of American Domestic Security http://t.co/diuZaDXv #occupy #occupyamsterdam #egypt,Occupy,NEUTRAL
183,From Occupation to â Occupy â : The Israelification of American Domestic Security http://t.co/diuZaDXv #occupy #occupyamsterdam #egypt,#occupyamsterdam,NEUTRAL
184,Visit http://goo.gl/kUa9H and vote for Chayanne in the Eventful 2011 Latin Fans' Choice Awards 27,Chayanne,POSITIVE
185,Visit http://goo.gl/kUa9H and vote for Chayanne in the Eventful 2011 Latin Fans' Choice Awards 27,Eventful,NEUTRAL
186,I liked a @YouTube video http://youtu.be/ynzA1kINVbM?a What is the Quran ? By Khalid Yasin,Khalid Yasin,POSITIVE
187,Avail discounts on Jersey Boys Fort Lauderdale FL Tickets | http://t.co/HVdxDKz0,Jersey Boys,NEUTRAL
188,Qatar adopts new listing and IPO rules - MENA1 Monday 3 Jan '12 Round up http://t.co/dneOgUgJ,IPO,NEUTRAL
189,987FM's Nine in a row starts at 10am ! What happens is you'll get 9 songs back to back and commercial free ; every ... http://t.co/Vb9ZoyQ9,987FM's,POSITIVE
190,& # 9829 ; It's Now or Never by Elvis Presley # lastfm : http://t.co/NxFq5Bto,Elvis Presley,NEUTRAL
191,gave a thumbs up to harsha's comment : they should not be released they should die in jail ............ http://t.co/C9YwMLTQ,harsha's,POSITIVE
192,White House condemned the assassination of Kurdish opposition leader Mishaal al-Tammo in Syria- VOK Radio : http://t.co/ndAIRtLJ via @AddThis,Mishaal al-Tammo,NEUTRAL
193,White House condemned the assassination of Kurdish opposition leader Mishaal al-Tammo in Syria- VOK Radio : http://t.co/ndAIRtLJ via @AddThis,VOK Radio,NEUTRAL
194,"Ustaz , you make me wanna smack your mouth !",Ustaz,NEGATIVE
195,Four Seasons' new website makes bold bet on social media http://t.co/qLamEGPU,Four Seasons',NEUTRAL
196,"Steve Novak , trending worldwide on #Twitter - http://t.co/IztR6E1a",Steve Novak,POSITIVE
197,Greece eyes 1 billion euro stimulus from EIB : PM adviser : Greece hopes to get 1 billion euros ( $ 1.31 billion ) in ... http://t.co/PRp90n38,EIB,NEUTRAL
198,@MahaElHajj it's true .. Watch the last part where ppl are fighting with the securities of the mall ?? Don't blame them when they come here,@MahaElHajj,NEUTRAL
199,NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,NYSE,NEUTRAL
200,NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,MSCI,NEUTRAL
201,NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,Bloomberg,NEUTRAL
202,"Choose NBI for insulation , air sealing , windows and doors , furnaces , air conditioners and en energy efficient appliances .",NBI,POSITIVE
203,ESPN poll says Tebow is nation's most popular athlete . Video and story : http://t.co/w3yfnCUo,ESPN,NEUTRAL
204,ESPN poll says Tebow is nation's most popular athlete . Video and story : http://t.co/w3yfnCUo,Tebow,POSITIVE
205,@carrieanninaba Looked like you had fun WITH Reg & Kelly . Ya looked great as always .,Reg,POSITIVE
